Business ID,,8404,8408,8410,8412,8414,8418,8420,8422,8424,8426,8428,8430,8432,8434
Days Run,,Sat,Sat,Sat,Sat,Sat,Sat,Sat,Sun+Sat,Sat,Sat,Sat,Sat,Sat,Sat
Vehicle Formation,,3VL,3VL,N +VN,3VL,2x 3VL,2x 3VL,2x 3VL,2x 3VL,2x 3VL,3VL,3VL,3VL,2x 3VL,3VL
Formed By On Arrival,,ON,ON,ON,ON,"8401
09:03
SPE","8405
10:24
SPE","8407
11:27
SPE","8409
12:35
SPE","8403
11:12
SPE",ON,"8415
15:17
SPE","8417
16:16
SPE","8413
15:41
SPE","8421
18:38
SPE"
Train Movement Type,,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV
BAIRNSDALE,,,,06:28,,,,,,12:22,,,,16:37,
STRATFORD,,,,07:02,,,,,,12:56,,,,17:11,
SALE,,,,07:16/07:18,,,,,,13:10/13:12,,,,17:25/17:27,
ROSEDALE,,,,07:36,,,,,,13:31,,,,17:46,
TRARALGON,Arr,,,07:51,,,,,,13:46,,,,18:01,
,Dep,06:00,07:21,07:53,08:31,09:19,10:39,11:39,12:53,13:48,14:51,15:51,16:39,18:03,18:50
MORWELL,,06:09,07:30,08:04,08:40,09:28,10:48,11:48,13:02,13:57,15:00,16:00,16:48,18:12,18:59
MOE,,06:18,07:39,08:15,08:49,09:37,10:57,11:57,13:11,14:13,15:11,16:11,16:57,18:28,19:08
TRAFALGAR,,06:24,07:45,08:21*,08:55,09:43,11:03,12:03,13:19,14:19*,15:19,16:19,17:05,18:34*,19:16
YARRAGON,,06:29,07:50,…/…,09:00,09:48,11:08,12:08,13:25,…/…,15:25,16:25,17:11,…/…,19:22
WARRAGUL,,06:37,07:58,08:34,09:08,09:56,11:16,12:16,13:33,14:32,15:33,16:33,17:19,18:47,19:30
DROUIN,,06:42,08:03,08:41,09:13,10:01,11:21,12:21,13:39,14:38,15:39,16:39,17:25,18:53,19:36
LONGWARRY,,06:48,08:09,08:47*,09:19,10:07,11:27,12:27,13:45,14:44*,15:45,16:45,17:31,18:58*,19:42
BUNYIP,,06:51,08:12,08:50*,09:22,10:10,11:30,12:30,13:48,14:47*,15:48,16:48,17:34,19:01*,19:45
GARFIELD,,06:54,08:15,08:54,09:25,10:13,11:33,12:33,13:52,14:51,15:52,16:52,17:38,19:05,19:49
TYNONG,,06:58,08:19,…/…,09:29,10:17,11:37,12:37,13:56,…/…,15:56,16:56,17:42,…/…,19:53
NAR NAR GOON,,07:02,08:23,09:00*,09:33,10:21,11:41,12:41,14:00,14:57*,16:00,17:00,17:46,19:11*,19:57
PAKENHAM,,07:10,08:31,09:11,09:41,10:29,11:49,12:49,14:09,15:06,16:09,17:09,17:55,19:19,20:06
,Plat,1,2,2,1,1,1,1,1,1,1,1,1,1,1
BERWICK,,07:18*,08:39*,09:20*,09:49*,10:37*,11:57*,12:57*,14:17*,15:14*,16:17*,17:17*,18:07*,19:27*,20:14*
DANDENONG,,07:27d,08:48d,09:29d,09:58d,10:46d,12:06d,13:06d,14:26d,15:24d,16:26d,17:26d,18:19d,19:39d,20:23d
,Plat,2,2,2,2,2,2,2,2,2,2,2,2,2,2
CLAYTON,,07:37d,08:57d,…/…,10:10d,11:00d,12:19d,13:19d,14:39d,…/…,16:39d,17:39d,18:31d,…/…,20:34d
CAULFIELD,,07:47d,09:07d,09:47d,10:23d,11:13d,12:33d,13:33d,14:53d,15:53d,16:53d,17:53d,18:43d,20:03d,20:43d
,Plat,3,3,3,3,3,3,3,3,3,3,3,3,3,3
RICHMOND,,07:55d,09:15d,09:55d,10:31d,11:21d,12:41d,13:41d,15:01d,16:01d,17:01d,18:01d,18:51d,20:10d,20:50d
FLINDERS STREET,,08:00/08:01d,09:20/09:21d,10:00/10:01d,10:35/10:36d,11:25/11:26d,12:45/12:46d,13:45/13:46d,15:05/15:06d,16:05/16:06d,17:05/17:06d,18:05/18:06d,18:55/18:56d,20:14/20:15d,20:54/20:55d
,Plat,10,10,10,10,10,10,10,10,10,10,10,10,7,10
SOUTHERN CROSS,Arr,08:06,09:26,10:06,10:40,11:30,12:50,13:50,15:10,16:10,17:11,18:10,19:00,20:19,20:59
,Plat,16A,16A,15A,16A,16A,15A,16A,16A,16A,16A,16A,16A,16A,16A
Forms,,"8407
09:05
TRN","8409
10:25
TRN","8929
10:20
SDL","8019
11:22
BGO","8133
12:16
ART","8137
13:16
WED","8939
13:55
SKS","8767
15:50
WPP","8943
16:20
SKS","8043
18:02
BGO","8049
19:25
BGO","8429
19:35
TRN","DAP 8181,
8947","8813
21:55
WPP"
