Business ID,,8303,8363,8311,8313,8365,8319,8323,8325,8329,8369,8337,8339,8341
Days Run,,Sat,Sat,Sat,Sat,Sat,Sat,Sat,Sat,Sat,Sat,Sat,Sat,Sat
Vehicle Formation,,2x SP,N +VN,3VL,2x SP,N +VN,2x SP,2x SP,2x SP,2x SP,N +VN,2x SP,2x SP,2x SP
Formed By On Arrival,,ON,ON,"8024
10:21
ECH","8314
11:07
SER","8862
11:21
WBL","8316
12:27
SER","8316
12:27
SER","8324
16:09
SER","8314
11:07
SER","8362
09:47
SNH","8332
19:28
SER","8328
17:27
SER","8336
21:44
SER"
Train Movement Type,,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV
SOUTHERN CROSS,Dep,07:12,09:12,10:52,11:52,12:52,14:12,15:32,16:32,17:32,18:32,19:55,21:55,23:55
,Plat,7,4,6,7,3,7,7,8,7,4,7,8,7
NORTH MELBOURNE,,07:16*,09:16*,10:56*,11:56*,12:56*,14:16*,15:36*,16:36*,17:36*,18:36*,19:59*,21:59*,23:59*
ESSENDON,,07:23*,09:23*,11:02*,12:02*,13:03*,14:22*,15:42*,16:42*,17:42*,18:42*,20:05*,22:05*,00:05*
BROADMEADOWS,,07:31u,09:31u,11:09u,12:09u,13:11u,14:29u,15:49u,16:49u,17:49u,18:49u,20:12u,22:12u,00:12u
CRAIGIEBURN,,07:38u,09:39*,11:18u,12:18u,13:18*,14:38u,15:58u,16:58u,17:58u,18:58*,20:19u,22:19u,00:19u
,Plat,2,2,1,1,2,2,1,1,2,1,2,2,2
DONNYBROOK,,07:43,09:46,11:23,12:23,13:25,14:43,16:03,17:03,18:03,19:03*,20:24,22:24,00:24
WALLAN,,07:52,09:56,11:32,12:32,13:35,14:52,16:12,17:12,18:12,19:13,20:33,22:33,00:33
HEATHCOTE JUNCTION,,07:57,10:02,11:37,12:37,13:41,14:57,16:17,17:17,18:17,…/…,20:38,22:38,00:38
WANDONG,,07:59,10:05,11:39,12:39,13:44,14:59,16:19,17:19,18:19,19:20,20:40,22:40,00:40
KILMORE EAST,,08:05,10:11,11:45,12:45,13:50,15:05,16:25,17:25,18:25,19:27,20:46,22:46,00:46
BROADFORD,,08:12,10:19,11:52,12:52,13:58,15:12,16:32,17:32,18:32,19:36,20:53,22:53,00:53
TALLAROOK,,08:21,10:28,12:01,13:01,14:07,15:21,16:41,17:41,18:41,…/…,21:02,23:02,01:02
SEYMOUR,Arr,08:32,10:34,12:12,13:12,14:13,15:32,16:52,17:52,18:52,19:52,21:13,23:13,01:13
,Dep,,10:39,,,14:18,,,,,19:57,,,
,Plat,2,2,2,3,2,2,2,2,3,2,2,2,2
NAGAMBIE,,,10:58,,,14:37,,,,,20:16,,,
MURCHISON EAST,,,11:14,,,14:53,,,,,20:32,,,
MOOROOPNA,,,11:34,,,15:13,,,,,20:52,,,
SHEPPARTON,,,11:49,,,15:28,,,,,21:07,,,
Forms,,"7303
08:35
SLO","8366
12:34
SPE","8318
12:29
SPE","8324
14:49
SPE","8368
16:02
SPE","8328
16:09
SPE","7323
16:55
SLO","8332
18:09
SPE","8336
20:25
SPE",OFF,"7337
21:16
SLO","7339
23:16
SLO","7341
01:16
SLO"
