Business ID,,8361,8303,8307,8363,8311,8313,8365,8317,8321,8323,8325,8367,8327,8329,8331,8369,8337,8339,8341
Days Run,,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,FO
Vehicle Formation,,N +VN,2x SP,3VL,N +VN,3x SP,2x SP,N +VN,3x SP,2x SP,3x SP,2x SP,N +VN,N +6SH,3x SP,3VL,N +6SH,3VL,2x SP,3VL
Formed By On Arrival,,ON,"8300
06:32
SER","8010
08:06
EPS","AAP 8216,
8362","8312
09:39
SER","8834
08:14
WVL","8364
12:15
SNH","8834
08:14
WVL","8314
10:34
SER","8302
07:23
SER","8320
14:35
SER","8862
12:55
WBL","8912
16:25
SDL","8326
17:16
SER","8044
18:02
EAG","8738
09:16
SOG","8246
19:20
BAH","8332
19:55
SER ThE
8527
21:10
FSS ThO","8176
22:58
WED"
Train Movement Type,,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV
SOUTHERN CROSS,Dep,05:53,07:11,08:25,09:33,10:32,11:32,12:52,13:32,14:32,15:31,16:02,16:31,17:11,17:37,18:22,19:08,19:51,21:50,23:45
,Plat,3,8S,5,5,7,7,5,7,7,7,8,5,8N,8S,7,4,8S,7,7
NORTH MELBOURNE,,05:57*,07:15*,08:30*,09:37*,10:36*,11:36*,12:56u,13:36u,14:36u,15:35u,16:06*,16:35u,17:15u,17:41u,18:26u,19:13u,19:55u,21:54u,23:49u
ESSENDON,,06:04*,07:22*,08:41*,09:44*,10:43*,11:43*,13:03*,13:43*,14:43*,15:43u,16:14u,16:43u,17:23*,17:51*,18:33*,19:20*,20:02*,22:00*,23:55*
BROADMEADOWS,,06:15u,07:30u,08:56u,09:53u,10:50u,11:50u,13:10u,13:50u,14:50u,16:00u,16:26u,16:59u,17:40u,18:06u,18:46u,19:30u,20:10u,22:09u,00:02u
CRAIGIEBURN,,06:27u,07:38u,09:08u,10:02*,10:59u,11:59u,13:19*,13:59u,14:59u,16:07*,16:39*,17:06*,17:47*,18:18*,18:59*,19:39*,20:19u,22:16u,00:09u
,Plat,2,2,1,2,1,2,2,1,2,2,1,2,2,1,1,2,1,2,1
DONNYBROOK,,06:35,07:43,09:13,10:06*,11:04,12:04,13:23*,14:04,15:04,16:12,16:43/16:44,17:12,17:52,18:23,19:04,19:43*,20:24,22:21,00:14
WALLAN,,06:45,07:53,09:22,10:16,11:13,12:13,13:33,14:13,15:13,16:21,16:54,17:24,18:05,18:33,19:13,19:52,20:33,22:30,00:23
HEATHCOTE JUNCTION,,06:51,07:58,09:27,…/…,11:18,12:18,…/…,14:18,15:18,16:26,…/…,17:31,18:12,18:38,19:18,…/…,20:38,22:36,00:28
WANDONG,,06:54,08:00,09:29,10:23,11:20,12:20,13:40,14:20,15:20,16:29,17:00,17:34,18:15,18:41,19:20,19:59,20:40,22:38,00:30
KILMORE EAST,,07:01,08:06,09:35,10:30,11:26,12:26,13:47,14:26,15:26,16:35,17:06,17:40,18:21,18:47,19:26,20:06,20:46,22:44,00:36
BROADFORD,,07:09,08:14,09:42,10:38,11:33,12:33,13:55,14:33,15:33,16:42,17:14,17:49,18:30,18:55,19:33,20:14,20:53,22:51,00:43
TALLAROOK,,07:18,08:23,09:51,…/…,11:42,12:42,…/…,14:42,15:42,16:51,…/…,17:58,18:39,19:04,19:42,…/…,21:02,23:00,00:52
SEYMOUR,Arr,07:26,08:33,10:03,10:55,11:54,12:54,14:11,14:54,15:54,17:03,17:34,18:07,18:51,19:16,19:54,20:30,21:14,23:12,01:04
,Dep,07:36,,,11:00,,,14:16,,,,,18:12,,,,20:35,,,
,Plat,3,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2
NAGAMBIE,,07:55,,,11:19,,,14:35,,,,,18:31,,,,20:54,,,
MURCHISON EAST,,08:11,,,11:35,,,14:51,,,,,18:47/18:52,,,,21:10/21:15,,,
MOOROOPNA,,08:31,,,11:55,,,15:11,,,,,19:12,,,,21:35,,,
SHEPPARTON,,08:43,,,12:10,,,15:25,,,,,19:24,,,,21:47,,,
Forms,,"8364
09:35
SPE","8314
09:14
SPE","8316
10:14
SPE","8366
12:46
SPE","8318
12:14
SPE","8320
13:14
SPE","8368
16:03
SPE","8326
15:41
SPE","8328
16:13
SPE","7323
17:09
SLO","8332
18:30
SPE",OFF,"7327
18:54
SLO","7329
19:24
SLO","8336
20:20
SPE",OFF,"8338
21:45
SPE","7339
23:15
SLO","7341
01:07
SLO"
